CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
121251-67-0,"Spiro[bicyclo[4.1.0]heptane-2,5'-[1,3]dioxane],  2',2',3,7,7-pentamethyl-,
(1.alpha.,3.alpha.,6.alpha.)-",Woody,Amber,Dry,2010-06-29,2016-03-09,2080d,EP-2402301-A1
1309389-73-8,"(E)-3-Benzo[1,3]dioxol-5-yl-N,N-diphenyl-2-propenamide",Food Like,Savoury,Roasted,2009-11-20,2020-06-17,3862d,DE-102010002558-A1
1315250-65-7,3-[cis-4-(2-methylpropyl)cyclohexyl]propanal,Floral,Muguet,Aldehydic,2009-11-16,2013-01-02,1143d,EP-2322495-A1
65416-21-9,1-Bicyclo[2.2.1]hept-5-en-2-ylethan-1-one-oxime,Green,Floral,Woody,2009-11-09,2012-04-27,900d,RU-2448692-C2
6819-19-8,3-(4-Methylcyclohex-3-enyl)-3-butenyl acetate,Floral,Herbal,Green,2009-11-06,2019-03-20,3421d,EP-2496682-A1
1392276-61-7,"Acetonitrile, 2-(2,4,4-trimethylcyclopentylidene)-",Spicy,Saffron,Leathery,2009-09-18,2015-10-26,2229d,DK-2477595-T3
676532-44-8,"Cyclopropanecarboxylic acid, 2-methyl-2-[(1,2,4-trimethyl-2-penten-1-yl)oxy]propyl
ester",Musk like,Fruity,Berry,2009-09-11,,,EP-2475639-A2
68259-31-4,5(Or 6)-Methyl-7(or 8)-(1-methylethyl)bicyclo[2.2.2]oct-5-ene-2-carbaldehyde,Green,Watery,Leafy,2009-03-20,2012-12-26,1377d,EP-2408889-B1
16930-93-1,"2,4-Hexadienyl butyrate",Green,Grape,Fruity,2009-03-03,2013-12-10,1743d,US-8603963-B1
1576-78-9,cis-3-Heptenyl acetate,Fruity,Green,Tropical-Fruit,2009-03-03,2013-12-10,1743d,US-8603963-B1
67801-47-2,Citral-methylanthranilate (Schiff base),Fruity,Sweet,Lemon,2009-03-02,2013-09-18,1661d,US-2010248390-A1
68480-08-0,"2,6-Dimethyl-2-octyl acetate",Aromatic,Citrus,Herbal,2009-03-02,2013-12-10,1744d,US-2010248390-A1
67845-42-5,Citronellal methylanthranilate Schiff base,Citrus,Floral,Lemongrass,2009-03-02,2016-03-16,2571d,US-2010248390-A1
67801-44-9,Methyl 2-(octylideneamino)benzoate,Floral,Fruity,Neroli,2009-03-02,2016-11-15,2815d,US-2010248390-A1
89-88-3,"1,2,3,3a,4,5,6,8a-Octahydro-4,8-dimethyl-2-(1-methylethylidene)-6-azulenol",Woody,Vetiver,Grapefruit,2009-03-02,2018-03-07,3292d,US-2010248390-A1
68129-81-7,Vetiverol,Woody,Vetiver,Grapefruit,2009-03-02,2018-03-07,3292d,US-2010248390-A1
141-15-1,Rhodinyl butyrate,Fruity,Rose,Citrus,2009-03-02,2018-05-01,3347d,US-2010248390-A1
141-09-3,Rhodinyl formate,Floral,Citrus,Fruity,2009-03-02,2018-05-01,3347d,US-2010248390-A1
37973-51-6,(E)-2-Phenylpropenyl acetate,Fruity,Green,Rhubarb,2009-03-02,2018-05-02,3348d,US-2010248390-A1
34322-09-3,S-(1-Methylpropyl) 3-methylbut-2-enethioate,Green,Herbal,Spicy,2009-03-02,2018-12-11,3571d,US-2010248390-A1
34365-79-2,S-1-Methylethyl 3-methylbut-2-enethioate,Green,Herbal,Leafy,2009-03-02,2018-12-11,3571d,US-2010248390-A1
68901-32-6,"2-[8-Isopropyl-6-methylbicyclo[2.2.2]oct-5-en-2-yl]-1,3-dioxolane",Green,Floral,Muguet,2009-03-02,2019-03-20,3670d,US-2010248390-A1
72429-08-4,"3,4,4a,5,8,8a(Or  3,4,4a,7,8,8a)-Hexahydro-3,3,6,7-tetramethyl-1H-2-benzopyran",Citrus,Fresh,Grapefruit,2009-03-02,2019-03-20,3670d,US-2010248390-A1
68845-36-3,Diethyldimethylcyclohex-2-en-1-one,Herbal,Warm,Woody,2009-03-02,2020-03-04,4020d,US-2010248390-A1
30897-75-7,"Bicyclo[3.1.1]hept-2-ene-2-acetaldehyde, 6,6-dimethyl-",Aromatic,Pine,Woody,2009-03-02,,,US-2010248390-A1
67874-67-3,Decanal-methylanthranilate (Schiff base),Floral,Fresh,Oily,2009-03-02,,,US-2010248390-A1
34495-71-1,Ethyl cis-4-octenoate,Fruity,Fresh,Juicy,2009-03-02,,,US-2010248390-A1
59056-64-3,"Octahydro-7,7,8,8-tetramethyl-2,3b-methano-3bH-
cyclopenta[1,3]cyclopropa[1,2]benzene-4-methanol",Amber,Sage,Warm,2009-03-02,,,US-2010248390-A1
12262-03-2,"Undecenoic acid, 3-methylbutyl ester",Floral,Rose,Oily,2009-03-02,,,US-2010248390-A1
76917-23-2,"2,6-Octadienal, (2E,6Z)-",Green,Watery,Aldehydic,2008-12-30,,,AU-2009334777-A1
58001-88-0,"(E)-2,6,10-Trimethylundeca-5,9-dienol",Aldehydic,Waxy,Floral,2008-12-16,2015-11-04,2514d,EP-2366014-A2
68259-33-6,1-[5(Or  6)-Methyl-7(or  8)-(1-methylethyl)bicyclo[2.2.2]oct-5-en-2-yl]ethan-1-one,Woody,Spicy,Balsamic,2008-06-13,,,US-2009312223-A1
67801-45-0,trans-3-Heptenyl 2-methylpropanoate,Green,Floral,Fruity,2008-04-23,,,WO-2009131692-A1
1099648-69-7,"2H-Pyran-4-ol, 2-(1-ethylpropyl)tetrahydro-4-methyl-",Green,Floral,Verbena,2008-04-22,2014-05-07,2206d,EP-2112144-A1
155514-23-1,"Butanoic acid, 2-methyl-, 5-hexen-1-yl ester",Green,Fruity,Pineapple,2008-04-07,2011-10-12,1283d,EP-2274409-A1
105-86-2,Geranyl formate,Floral,Green,Rose,2008-01-17,2014-01-16,2191d,AU-2009204698-A1
2142-94-1,Neryl formate,Fruity,Green,Floral,2008-01-17,2014-01-16,2191d,AU-2009204698-A1
1135-66-6,Isolongifolene,Woody,Amber,Incense,2007-07-13,2013-10-31,2302d,AU-2008276287-A1
68804-02-4,"3-(4,7,7-Trimethylbicyclo[4.1.0]hept-3-ylidene)propiononitrile",Floral,Rose,Fresh,2007-03-28,,,EP-2152658-A2
134123-93-6,"Benzenepropanenitrile, 4-ethyl-.alpha.,.alpha.-dimethyl-",Herbal,Marine,Ozonic,2007-01-23,2013-06-18,2338d,US-2008176781-A1
